site,label,year,n_valid,median_dist_m,mean_dist_m,p25_dist_m,p75_dist_m,pct_landward
funafuti,Funafuti,1999,1352,-8.0,-71.17,-72.03,3.34,63.5
funafuti,Funafuti,2000,1352,-11.65,-94.48,-75.51,2.02,68.4
funafuti,Funafuti,2001,1385,-8.32,-27.07,-33.99,2.55,69.1
funafuti,Funafuti,2003,1385,-10.77,-30.25,-34.11,1.4,72.3
funafuti,Funafuti,2004,1385,-7.46,-18.61,-18.84,1.97,69.8
funafuti,Funafuti,2006,1385,-2.08,-5.52,-10.07,4.24,59.6
funafuti,Funafuti,2007,1305,-1.33,275.55,-14.05,14.13,51.3
funafuti,Funafuti,2008,1303,0.53,435.89,-8.37,21.2,45.6
funafuti,Funafuti,2009,1385,2.96,0.78,-2.19,8.39,34.9
funafuti,Funafuti,2010,1010,-0.78,411.94,-7.78,22.7,39.3
funafuti,Funafuti,2011,1385,-4.87,26.56,-16.54,6.16,63.2
funafuti,Funafuti,2012,1385,-2.88,-4.01,-6.81,0.36,72.6
funafuti,Funafuti,2013,1385,-1.36,-2.6,-4.06,1.18,63.6
funafuti,Funafuti,2014,1385,-1.18,-2.69,-4.17,1.42,62.2
funafuti,Funafuti,2015,1385,-0.97,17.64,-5.57,1.85,58.6
funafuti,Funafuti,2016,1385,1.09,4.39,-1.27,3.43,36.8
funafuti,Funafuti,2017,1385,0.42,2.67,-2.09,2.78,45.6
funafuti,Funafuti,2018,1385,-0.85,-1.46,-3.86,1.29,58.6
funafuti,Funafuti,2019,1385,0.11,-0.02,-2.37,2.34,48.4
funafuti,Funafuti,2020,1385,-0.42,1.62,-3.74,3.1,52.9
funafuti,Funafuti,2021,1385,-0.22,-0.15,-5.06,2.78,51.8
funafuti,Funafuti,2022,1385,-0.3,-1.35,-2.3,1.44,54.2
funafuti,Funafuti,2023,1385,0.0,0.0,0.0,0.0,0.0
nanumea,Nanumea,1999,351,-3.58,-128.8,-16.79,0.62,72.1
nanumea,Nanumea,2000,351,-3.73,-152.88,-16.94,0.51,72.6
nanumea,Nanumea,2002,351,-2.99,-41.16,-15.14,1.2,69.2
nanumea,Nanumea,2003,351,-2.89,-3.98,-10.66,0.9,70.4
nanumea,Nanumea,2005,351,0.53,0.84,-4.68,5.55,45.6
nanumea,Nanumea,2006,351,-0.15,-0.45,-5.86,4.67,50.1
nanumea,Nanumea,2007,351,3.61,3.43,-3.53,7.96,36.5
nanumea,Nanumea,2008,351,5.67,7.19,-0.26,10.68,25.4
nanumea,Nanumea,2009,319,442.3,677.56,156.02,1219.25,8.8
nanumea,Nanumea,2010,319,635.12,776.39,286.75,1324.45,4.6
nanumea,Nanumea,2011,351,6.14,7.03,1.2,11.64,21.1
nanumea,Nanumea,2012,351,-0.49,274.05,-410.66,826.61,50.1
nanumea,Nanumea,2013,351,-2.63,-1.58,-8.64,0.51,72.4
nanumea,Nanumea,2014,351,-2.6,-1.69,-8.76,0.74,70.7
nanumea,Nanumea,2015,351,4.85,10.06,2.04,8.51,14.8
nanumea,Nanumea,2016,351,2.61,2.23,-0.81,5.8,29.3
nanumea,Nanumea,2017,351,0.69,0.47,-1.65,2.66,41.6
nanumea,Nanumea,2018,351,-1.12,-2.28,-4.83,1.5,60.4
nanumea,Nanumea,2019,351,-0.76,-2.04,-3.18,1.69,59.8
nanumea,Nanumea,2020,351,1.68,-1.9,-1.0,3.76,34.8
nanumea,Nanumea,2021,351,-1.25,-7.39,-4.22,1.55,65.5
nanumea,Nanumea,2022,351,0.6,-0.65,-2.27,2.22,42.7
nanumea,Nanumea,2023,351,0.0,0.0,0.0,0.0,0.0
tarawa,Tarawa,1999,84,-1671.63,-1385.63,-2813.34,-933.7,4.6
tarawa,Tarawa,2000,84,-1316.59,-1250.87,-2954.54,-281.61,4.6
tarawa,Tarawa,2001,84,456.46,217.26,-374.97,1131.81,2.0
tarawa,Tarawa,2002,1621,17.76,391.51,-15.19,892.79,37.8
tarawa,Tarawa,2003,1621,1.89,-0.89,-3.12,9.0,41.1
tarawa,Tarawa,2004,1555,3.92,19.83,-1.58,11.39,31.6
tarawa,Tarawa,2005,1559,1.78,-2.62,-3.92,9.37,40.2
tarawa,Tarawa,2006,1559,0.06,-5.21,-5.43,7.13,48.0
tarawa,Tarawa,2007,1558,-2.31,-16.54,-7.55,3.96,58.5
tarawa,Tarawa,2008,802,-488.4,-23.22,-2686.39,2860.08,27.7
tarawa,Tarawa,2009,1490,543.58,792.52,-123.94,1900.71,29.2
